stage,dataset,case,query_id,status,mismatch_note,source,ours_rows,ours_hash,gt_rows,gt_hash,detail
stage1,tpch0_1,single_table_lineitem,1,PASS,,logs/stage1_correctness.csv,3,53594e9ff9db6a8970613daf94e3b1ec,3,53594e9ff9db6a8970613daf94e3b1ec,
stage1,tpch0_1,cross_table_policy_query_subset,4,PASS,,logs/stage1_correctness.csv,5,9d0c6739031ebb6049e405336540854b,5,9d0c6739031ebb6049e405336540854b,
stage1,tpch0_1,or_of_conjunctions_path,3,PASS,,logs/stage1_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage1,tpch1,single_table_lineitem,1,PASS,,logs/stage1_correctness.csv,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,
stage1,tpch1,cross_table_policy_query_subset,4,PASS,,logs/stage1_correctness.csv,5,c4a6489a7ab8a5d12a8b6df9652ac577,5,c4a6489a7ab8a5d12a8b6df9652ac577,
stage1,tpch1,or_of_conjunctions_path,3,PASS,,logs/stage1_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage2,tpch0_1,single_table_lineitem,1,PASS,,logs/stage2_correctness.csv,3,53594e9ff9db6a8970613daf94e3b1ec,3,53594e9ff9db6a8970613daf94e3b1ec,
stage2,tpch0_1,cross_table_policy_query_subset,4,PASS,,logs/stage2_correctness.csv,5,9d0c6739031ebb6049e405336540854b,5,9d0c6739031ebb6049e405336540854b,
stage2,tpch0_1,or_of_conjunctions_path,3,PASS,,logs/stage2_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage2,tpch0_1,witness_chain_lineitem_orders_customer,3,PASS,,logs/stage2_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage2,tpch0_1,join_column_literal_domain_dict,4,PASS,,logs/stage2_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage2,tpch1,single_table_lineitem,1,PASS,,logs/stage2_correctness.csv,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,
stage2,tpch1,cross_table_policy_query_subset,4,PASS,,logs/stage2_correctness.csv,5,c4a6489a7ab8a5d12a8b6df9652ac577,5,c4a6489a7ab8a5d12a8b6df9652ac577,
stage2,tpch1,or_of_conjunctions_path,3,PASS,,logs/stage2_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage2,tpch1,witness_chain_lineitem_orders_customer,3,PASS,,logs/stage2_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage2,tpch1,join_column_literal_domain_dict,4,PASS,,logs/stage2_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage3,tpch1,single_table_lineitem,1,PASS,,logs/stage3_correctness.csv,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,
stage3,tpch1,cross_table_policy_query_subset,4,PASS,,logs/stage3_correctness.csv,5,c4a6489a7ab8a5d12a8b6df9652ac577,5,c4a6489a7ab8a5d12a8b6df9652ac577,
stage3,tpch1,or_of_conjunctions_path,3,PASS,,logs/stage3_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage3,tpch1,witness_chain_lineitem_orders_customer,3,PASS,,logs/stage3_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage3,tpch1,join_column_literal_domain_dict,4,PASS,,logs/stage3_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
stage3,tpch1,colopcol_cross_table_ordered_simple,4,PASS,,logs/stage3_correctness.csv,5,dd1cafd257bad129821256a72b01bab9,5,dd1cafd257bad129821256a72b01bab9,
stage3,tpch1,colopcol_cross_table_ordered_witness_chain,3,PASS,,logs/stage3_correctness.csv,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,
toy_audit,toy_tpch_glassbox,toy_glassbox,Q1,PASS,,logs/toy_results.csv,7,74d4400c7477f6bef8268a946ce56a27,7,74d4400c7477f6bef8268a946ce56a27,
toy_audit,toy_tpch_glassbox,toy_glassbox,Q2,PASS,,logs/toy_results.csv,7,74d4400c7477f6bef8268a946ce56a27,7,74d4400c7477f6bef8268a946ce56a27,
stage5,toy_tpch_stage5,or_selector_union_regression,Q_lineitem,PASS,,logs/stage5_or_selector_policy.txt,7,c7e3ead249e68bbef52da1b29d32754f,7,c7e3ead249e68bbef52da1b29d32754f,"left_rows=[(10, 1), (10, 3), (30, 1), (30, 2), (30, 3)] right_rows=[(20, 2), (40, 1)] combined_rows=[(10, 1), (10, 3), (20, 2), (30, 1), (30, 2), (30, 3), (40, 1)] selector_signs={6: [-1, 1]}"
stage5,toy_tpch_stage5,propagation_conflict_lemma,Q_lineitem,PASS,,logs/stage5_conflict_policy.txt,5,d2cabcf4296fbedc0851af289d811d09,5,d2cabcf4296fbedc0851af289d811d09,conflict_lemma_hits=1
stage6A,toy_tpch_stage6a,signature_cache_multi_model_or,Q_lineitem,PASS,,logs/stage6A_signature_or_policy.txt,7,c7e3ead249e68bbef52da1b29d32754f,7,c7e3ead249e68bbef52da1b29d32754f,signature_cache_hits=2 signature_cache_misses=2 term_code_scans=2 target_full_row_scans=0 sat_models=2
